loan_status,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
0,21.0,1,1,50084.0,0,2,5000.0,4,7.74,0.10,3.0,678,1
1,26.0,1,1,37097.0,5,3,4000.0,3,14.27,0.11,2.0,673,0
1,29.0,1,1,140223.0,8,0,24962.0,4,13.39,0.18,8.0,687,0
0,24.0,0,0,114678.0,2,0,10000.0,2,10.65,0.09,4.0,591,1
0,31.0,0,4,96956.0,6,0,10000.0,3,11.01,0.10,5.0,603,1
0,22.0,0,3,72547.0,0,0,11200.0,5,5.79,0.15,4.0,566,0
0,23.0,0,1,50889.0,2,3,7356.0,1,12.00,0.14,3.0,593,1
0,24.0,0,0,84747.0,5,3,8000.0,0,12.94,0.09,4.0,588,1
0,25.0,1,4,103093.0,1,3,15000.0,5,8.19,0.15,4.0,652,1
1,34.0,1,1,26505.0,10,3,5000.0,2,13.45,0.19,8.0,669,0
1,23.0,0,1,92495.0,0,0,9000.0,0,11.01,0.10,3.0,634,0
0,34.0,1,1,87607.0,13,3,20000.0,5,11.89,0.23,10.0,735,0
0,26.0,1,1,162872.0,7,0,24000.0,0,12.99,0.15,2.0,706,1
0,24.0,0,3,62040.0,1,3,9830.0,2,9.57,0.16,3.0,653,1
0,21.0,0,0,44067.0,0,0,8000.0,0,9.32,0.18,3.0,583,0
1,22.0,1,4,15498.0,1,3,6000.0,0,8.88,0.39,4.0,708,0
0,43.0,0,3,67140.0,16,0,11750.0,0,10.99,0.18,17.0,676,1
0,23.0,0,3,49187.0,2,1,10000.0,1,12.72,0.20,2.0,583,0
0,24.0,1,1,68051.0,0,3,15000.0,0,12.87,0.22,2.0,594,1
1,24.0,1,1,136827.0,0,3,10191.0,4,10.09,0.07,3.0,615,0
1,28.0,1,0,25086.0,3,2,10000.0,3,11.01,0.40,7.0,623,0
0,22.0,0,0,102456.0,0,0,12000.0,5,6.91,0.12,3.0,648,1
0,25.0,1,1,68111.0,1,0,3500.0,3,14.17,0.05,3.0,692,1
0,22.0,0,0,43178.0,1,3,6000.0,1,11.01,0.14,2.0,658,1
0,29.0,0,1,55272.0,6,3,10000.0,3,11.01,0.18,5.0,662,0
0,30.0,1,1,129544.0,8,0,2500.0,0,10.78,0.02,6.0,669,0
1,30.0,0,0,108001.0,8,3,28869.0,0,7.97,0.27,7.0,602,0
0,24.0,1,0,116992.0,0,0,14000.0,1,17.19,0.12,4.0,655,1
0,25.0,1,4,136746.0,6,0,25000.0,4,11.61,0.18,6.0,658,0
0,25.0,0,0,48777.0,2,0,4500.0,4,10.99,0.09,3.0,556,1
0,23.0,1,1,60867.0,0,3,6000.0,3,11.86,0.10,3.0,600,1
0,30.0,0,0,72969.0,6,3,8000.0,2,7.66,0.11,6.0,615,0
0,25.0,0,3,116369.0,4,2,4000.0,1,9.88,0.03,3.0,521,1
0,38.0,0,0,157075.0,15,0,11000.0,0,10.74,0.07,11.0,654,0
0,24.0,1,3,60838.0,5,3,8000.0,1,7.96,0.13,4.0,560,1
0,25.0,1,1,85053.0,3,3,12000.0,5,8.90,0.14,2.0,616,1
0,26.0,0,2,141216.0,2,0,6000.0,2,7.51,0.04,4.0,576,0
0,21.0,1,3,60925.0,0,3,12000.0,4,11.71,0.20,3.0,530,1
1,22.0,0,1,65835.0,2,3,3200.0,2,16.49,0.05,4.0,680,0
0,23.0,0,1,152485.0,0,0,3212.0,1,14.78,0.02,3.0,682,0
1,23.0,0,3,39925.0,1,3,12300.0,1,11.01,0.31,3.0,537,0
0,25.0,0,1,52926.0,2,3,3000.0,4,13.80,0.06,3.0,725,1
0,29.0,1,1,54863.0,5,3,7500.0,1,11.01,0.14,5.0,652,1
1,24.0,1,4,71342.0,5,3,6300.0,3,14.91,0.09,2.0,658,0
1,25.0,0,0,47763.0,6,3,16000.0,5,16.38,0.33,3.0,629,0
1,22.0,0,3,38089.0,0,0,1050.0,0,7.51,0.03,4.0,581,0
0,37.0,0,3,143942.0,16,0,5169.0,4,10.91,0.04,10.0,617,1
0,22.0,1,3,43363.0,0,3,4992.0,3,11.00,0.12,3.0,527,1
1,41.0,1,3,167170.0,17,0,23000.0,3,14.96,0.14,12.0,573,0
1,22.0,1,0,68235.0,1,0,25000.0,4,16.40,0.37,3.0,632,0
0,26.0,0,4,91227.0,6,0,9600.0,1,5.42,0.11,3.0,644,1
1,22.0,1,3,36844.0,0,3,5000.0,2,8.88,0.14,3.0,614,0
1,32.0,1,0,15301.0,9,3,6075.0,0,12.42,0.40,8.0,661,0
0,36.0,1,0,39086.0,13,2,3600.0,1,13.49,0.09,11.0,621,1
0,23.0,1,3,24983.0,3,3,1500.0,0,9.62,0.06,3.0,670,1
0,23.0,0,0,55019.0,0,0,9925.0,1,11.48,0.18,2.0,592,1
1,25.0,1,1,68700.0,5,3,3838.0,0,15.03,0.06,3.0,643,0
1,27.0,0,3,54879.0,5,3,18000.0,4,13.16,0.33,7.0,611,0
0,29.0,1,1,74965.0,9,0,10000.0,4,12.41,0.13,9.0,576,1
0,28.0,0,3,78570.0,6,0,1454.0,4,9.73,0.02,6.0,636,0
0,31.0,0,3,36929.0,8,3,7200.0,5,11.48,0.19,6.0,588,1
0,25.0,1,3,211017.0,5,0,10000.0,2,15.05,0.05,4.0,631,1
0,21.0,1,3,31253.0,0,3,6000.0,1,7.49,0.19,3.0,450,1
1,29.0,0,3,15532.0,8,3,4500.0,1,15.05,0.29,9.0,619,0
0,41.0,0,3,46963.0,20,3,8875.0,3,19.03,0.19,11.0,698,1
0,32.0,0,3,186782.0,11,0,8000.0,3,11.01,0.04,6.0,683,0
1,33.0,1,0,35824.0,13,3,10000.0,5,13.06,0.28,9.0,657,0
0,24.0,1,1,115945.0,2,3,17400.0,0,10.37,0.15,2.0,619,1
0,29.0,1,0,36799.0,6,3,2000.0,0,10.75,0.05,7.0,608,0
0,26.0,1,3,61280.0,4,2,12000.0,3,8.49,0.20,4.0,654,1
0,31.0,0,4,66823.0,11,3,10000.0,0,8.56,0.15,10.0,623,1
1,23.0,1,0,48159.0,0,3,6000.0,0,15.99,0.12,3.0,592,0
0,26.0,0,3,115019.0,3,0,14000.0,0,6.03,0.12,4.0,677,1
1,21.0,1,3,45480.0,0,3,7500.0,2,14.84,0.16,2.0,658,0
0,26.0,0,0,51672.0,2,3,3500.0,1,12.61,0.07,4.0,596,1
1,22.0,1,1,42450.0,1,3,7500.0,0,15.05,0.18,2.0,682,0
0,25.0,0,1,72982.0,5,0,13000.0,3,14.17,0.18,3.0,691,0
1,33.0,1,3,53709.0,13,0,4500.0,0,14.74,0.08,10.0,644,0
1,42.0,1,0,39683.0,20,3,10000.0,5,10.38,0.25,15.0,690,0
0,23.0,1,0,53026.0,0,3,10450.0,4,13.57,0.20,3.0,618,0
0,28.0,0,3,120915.0,7,3,18000.0,3,13.91,0.15,9.0,501,1
1,25.0,0,4,24152.0,6,3,4000.0,0,11.01,0.17,3.0,649,0
1,25.0,1,0,29861.0,0,3,9600.0,4,11.71,0.32,3.0,598,0
1,35.0,1,1,31112.0,14,3,8000.0,3,7.51,0.26,7.0,705,0
0,29.0,1,1,82779.0,5,3,10000.0,1,10.65,0.12,5.0,629,1
1,23.0,1,1,30059.0,0,0,1375.0,3,11.11,0.05,4.0,506,0
0,26.0,1,4,53841.0,4,3,4500.0,3,7.74,0.08,3.0,704,1
0,28.0,1,4,67349.0,5,0,3000.0,5,11.72,0.04,10.0,610,1
0,21.0,0,4,72792.0,0,3,8000.0,1,11.26,0.11,3.0,687,0
0,21.0,0,0,26844.0,0,3,3500.0,0,7.51,0.13,2.0,627,1
0,23.0,1,0,36757.0,0,0,8000.0,2,5.78,0.22,4.0,576,1
0,27.0,0,3,83707.0,3,3,2500.0,5,7.14,0.03,8.0,613,1
0,28.0,0,4,70058.0,4,0,23000.0,1,11.01,0.33,7.0,501,1
1,25.0,1,1,42203.0,6,0,2000.0,0,7.66,0.05,4.0,614,0
1,24.0,0,3,73202.0,1,3,20000.0,4,11.14,0.27,2.0,536,0
1,41.0,1,0,71026.0,21,3,7150.0,4,15.99,0.10,16.0,701,0
0,24.0,1,3,35392.0,1,0,6000.0,3,9.99,0.17,3.0,604,1
0,34.0,0,1,110760.0,12,3,12000.0,3,6.92,0.11,7.0,658,1
0,28.0,1,0,95281.0,8,2,14000.0,5,11.36,0.15,10.0,582,1
0,28.0,1,3,124432.0,7,0,10000.0,5,8.50,0.08,10.0,645,1
0,29.0,0,4,123553.0,9,0,6000.0,3,7.88,0.05,9.0,664,1
0,26.0,1,0,66453.0,6,0,10000.0,2,8.94,0.15,3.0,692,1
0,32.0,1,4,91097.0,8,0,10000.0,1,11.89,0.11,5.0,646,0
0,21.0,1,0,51308.0,1,0,2500.0,0,7.29,0.05,4.0,681,1
0,28.0,0,1,84907.0,6,0,5600.0,5,6.62,0.07,5.0,717,1
0,41.0,1,3,61078.0,17,3,6000.0,4,8.88,0.10,17.0,675,1
0,24.0,1,0,72749.0,2,3,6500.0,0,7.84,0.09,3.0,648,0
0,24.0,1,4,102820.0,0,0,12000.0,2,11.14,0.12,3.0,631,1
0,26.0,1,3,98598.0,1,3,8371.0,4,9.57,0.08,6.0,656,1
0,27.0,1,1,124222.0,7,3,1901.0,2,9.15,0.02,8.0,602,0
0,33.0,0,4,53666.0,11,3,8000.0,5,17.49,0.15,8.0,692,0
0,26.0,0,0,67056.0,5,0,10500.0,0,5.79,0.16,2.0,689,1
0,37.0,1,1,55094.0,10,3,6000.0,1,12.61,0.11,17.0,694,1
0,25.0,0,0,67298.0,5,0,8000.0,1,9.24,0.12,5.0,624,1
0,21.0,0,3,30896.0,0,0,2800.0,5,11.01,0.09,3.0,687,1
0,23.0,0,0,91179.0,1,3,6000.0,4,6.03,0.07,4.0,692,1
1,23.0,0,4,31126.0,0,3,1800.0,3,12.69,0.06,3.0,571,0
1,44.0,0,3,142342.0,21,3,2500.0,3,7.29,0.02,11.0,657,0
0,25.0,0,1,40884.0,2,3,5500.0,3,11.01,0.13,4.0,683,1
1,32.0,1,4,35391.0,10,3,14500.0,4,16.70,0.41,10.0,669,0
0,29.0,0,1,55039.0,3,0,9227.0,3,10.12,0.17,5.0,631,1
1,28.0,1,3,60116.0,4,3,3600.0,5,13.98,0.06,9.0,553,0
0,26.0,1,1,143449.0,2,0,15000.0,5,14.42,0.10,2.0,610,1
0,24.0,0,3,79106.0,1,3,9600.0,4,12.91,0.12,4.0,656,1
0,25.0,1,3,213645.0,3,0,24000.0,5,11.11,0.11,4.0,591,1
0,22.0,0,0,51566.0,0,0,5000.0,3,8.94,0.10,2.0,658,1
0,26.0,1,0,55033.0,6,0,14125.0,2,13.99,0.26,2.0,586,1
0,24.0,1,0,79211.0,4,0,5000.0,4,8.59,0.06,2.0,720,1
0,48.0,1,0,84772.0,28,0,21600.0,2,7.51,0.25,11.0,664,1
0,42.0,1,3,118105.0,15,3,7000.0,1,8.90,0.06,13.0,658,1
0,29.0,0,1,192804.0,8,0,10000.0,2,12.05,0.05,8.0,635,0
0,23.0,0,0,49688.0,1,3,5500.0,1,12.73,0.11,4.0,589,0
1,22.0,0,1,46631.0,0,3,12000.0,1,10.75,0.26,3.0,661,0
0,25.0,1,1,58297.0,2,0,7800.0,2,8.94,0.13,2.0,660,1
0,30.0,0,4,64194.0,5,3,2200.0,3,10.99,0.03,8.0,577,1
0,37.0,0,1,107963.0,14,0,5000.0,1,6.91,0.05,15.0,577,1
0,24.0,0,0,57403.0,2,2,6000.0,4,11.11,0.10,4.0,653,1
0,25.0,1,0,132964.0,0,0,20000.0,4,7.88,0.15,2.0,611,1
1,24.0,1,1,90889.0,1,3,24000.0,3,10.37,0.26,3.0,643,0
0,23.0,1,4,102800.0,5,0,20000.0,1,11.01,0.19,4.0,656,1
0,37.0,1,3,114881.0,16,3,7500.0,0,7.51,0.07,16.0,670,1
0,32.0,0,3,58476.0,10,0,10650.0,0,10.59,0.18,9.0,582,1
0,25.0,1,0,69945.0,5,0,9000.0,2,11.01,0.13,3.0,647,0
0,33.0,1,3,162851.0,10,0,15000.0,1,13.61,0.09,9.0,633,1
1,35.0,0,0,60939.0,14,3,17500.0,4,12.84,0.29,5.0,700,0
0,26.0,1,0,92765.0,7,0,24000.0,1,12.73,0.26,3.0,593,1
0,30.0,0,3,61022.0,8,3,6533.0,5,10.43,0.11,5.0,629,1
0,24.0,0,4,64478.0,0,3,3000.0,3,12.99,0.05,3.0,639,1
0,22.0,1,0,27385.0,3,0,7200.0,4,7.14,0.26,2.0,636,0
1,26.0,0,1,47721.0,1,3,15000.0,3,15.37,0.31,2.0,680,0
0,24.0,1,3,26110.0,0,3,1800.0,3,10.65,0.07,2.0,674,0
0,27.0,0,0,113110.0,3,0,12000.0,5,8.29,0.11,7.0,555,1
0,23.0,1,0,84629.0,0,0,3477.0,1,6.08,0.04,4.0,638,0
0,26.0,0,3,84862.0,4,0,10000.0,2,11.01,0.12,4.0,646,1
0,30.0,0,4,55162.0,7,3,6000.0,4,12.69,0.11,8.0,702,0
0,29.0,1,3,265757.0,9,0,9694.0,0,11.79,0.04,4.0,583,1
0,25.0,0,3,71415.0,0,3,8000.0,4,12.00,0.11,4.0,603,1
0,25.0,1,3,70489.0,1,0,9000.0,1,7.88,0.13,5.0,566,1
0,25.0,1,1,52166.0,5,3,7128.0,1,12.04,0.14,5.0,699,0
0,28.0,0,0,42914.0,4,3,10000.0,3,14.61,0.23,7.0,618,0
0,22.0,1,0,66816.0,0,3,5000.0,1,6.91,0.07,2.0,657,0
0,37.0,0,3,71667.0,15,0,9000.0,2,10.25,0.13,13.0,678,1
0,23.0,1,1,91008.0,0,3,5000.0,1,6.33,0.05,3.0,620,1
0,37.0,0,1,157076.0,17,3,13000.0,4,9.88,0.08,16.0,654,1
0,25.0,1,3,67267.0,0,3,10800.0,5,13.57,0.16,2.0,581,1
0,25.0,1,3,53535.0,6,3,2400.0,3,7.66,0.04,4.0,553,0
0,31.0,1,3,122149.0,10,3,7500.0,1,13.22,0.06,5.0,690,0
0,22.0,0,4,49139.0,0,3,6000.0,5,7.66,0.12,2.0,549,1
1,26.0,1,0,37199.0,6,3,7500.0,4,12.18,0.20,3.0,650,0
0,27.0,1,3,78865.0,1,0,18000.0,4,7.51,0.23,5.0,600,0
0,25.0,1,1,85060.0,5,3,12000.0,1,13.55,0.14,3.0,670,0
1,31.0,1,1,35815.0,8,3,15075.0,2,11.01,0.42,7.0,517,0
0,24.0,1,1,193091.0,0,0,12000.0,0,5.65,0.06,5.0,617,1
1,25.0,0,3,47873.0,4,3,16000.0,5,14.90,0.33,3.0,580,0
1,22.0,0,3,41984.0,2,3,2500.0,2,13.57,0.06,3.0,532,0
0,32.0,0,0,79041.0,9,2,12000.0,4,13.35,0.15,9.0,601,1
0,30.0,1,0,207391.0,6,0,20000.0,5,11.01,0.10,8.0,635,0
0,23.0,0,1,44118.0,0,2,5500.0,5,5.42,0.12,3.0,527,1
0,24.0,1,1,69251.0,3,2,9000.0,1,8.00,0.13,4.0,700,0
0,44.0,1,3,211336.0,22,0,15000.0,2,7.66,0.07,17.0,684,1
0,26.0,1,1,37200.0,4,3,2300.0,3,10.99,0.06,2.0,626,1
1,23.0,1,4,35760.0,0,3,6000.0,1,7.88,0.17,3.0,625,0
0,35.0,0,4,123790.0,13,3,20000.0,2,13.85,0.16,10.0,651,1
0,27.0,1,3,90711.0,4,3,20000.0,3,10.82,0.22,6.0,539,1
0,25.0,1,0,37910.0,2,0,2000.0,3,11.12,0.05,4.0,683,1
0,24.0,1,3,90893.0,0,0,8000.0,1,14.61,0.09,3.0,664,1
0,24.0,1,1,54659.0,0,0,7200.0,4,7.29,0.13,4.0,667,0
0,24.0,1,3,37430.0,0,0,5000.0,3,7.74,0.13,2.0,673,0
0,22.0,1,3,58627.0,0,3,5000.0,3,11.36,0.09,4.0,651,0
0,28.0,0,3,74000.0,6,0,12000.0,4,6.03,0.16,5.0,666,1
1,29.0,1,4,41327.0,8,3,9600.0,4,15.99,0.23,7.0,709,0
0,22.0,0,3,28276.0,3,3,4850.0,3,14.27,0.17,3.0,575,1
0,22.0,0,3,73027.0,0,1,8000.0,5,16.00,0.11,2.0,683,1
0,24.0,0,4,73107.0,0,3,10000.0,3,6.54,0.14,2.0,573,1
0,30.0,0,4,121040.0,9,0,7500.0,4,11.59,0.06,6.0,615,1
0,30.0,0,1,45942.0,5,3,1513.0,0,9.42,0.03,7.0,597,1
0,30.0,0,0,84773.0,8,3,15000.0,4,13.61,0.18,8.0,693,0
0,23.0,1,3,75080.0,0,0,5000.0,3,11.36,0.07,3.0,650,1
0,27.0,1,1,50035.0,3,3,2000.0,5,7.49,0.04,9.0,660,1
0,22.0,1,0,103092.0,0,0,12000.0,3,6.91,0.12,3.0,642,1
0,42.0,1,1,94649.0,17,0,8000.0,3,10.78,0.08,13.0,700,0
0,29.0,0,4,90671.0,6,2,18000.0,5,12.42,0.20,9.0,706,0
0,30.0,1,1,114923.0,8,0,10000.0,0,7.51,0.09,9.0,654,1
0,22.0,0,3,40812.0,0,3,2400.0,0,11.48,0.06,4.0,673,0
0,65.0,1,3,112569.0,45,0,25000.0,4,9.99,0.22,27.0,689,1
0,22.0,1,3,99315.0,3,0,7000.0,1,14.72,0.07,4.0,630,1
0,24.0,1,3,108933.0,4,0,7000.0,5,10.99,0.06,3.0,648,1
0,40.0,0,4,92615.0,16,3,5000.0,4,13.72,0.05,15.0,677,0
0,38.0,0,1,241127.0,17,0,3000.0,0,7.68,0.01,12.0,684,1
0,22.0,1,3,52522.0,0,0,8500.0,5,14.24,0.16,3.0,602,1
1,22.0,0,0,36763.0,1,3,6000.0,1,13.23,0.16,3.0,642,0
0,24.0,1,1,132600.0,6,0,12000.0,4,8.94,0.09,3.0,657,0
0,29.0,1,3,87153.0,4,0,24000.0,5,10.99,0.28,6.0,677,0
0,30.0,1,3,53659.0,10,3,9147.0,3,7.29,0.17,6.0,639,1
0,30.0,0,0,44090.0,9,3,4200.0,1,14.27,0.10,5.0,649,0
0,23.0,1,1,39689.0,0,3,4000.0,1,7.68,0.10,3.0,565,1
1,37.0,1,1,86616.0,16,0,3100.0,3,20.00,0.04,14.0,673,0
0,25.0,1,1,47085.0,4,0,8479.0,1,11.60,0.18,2.0,639,1
0,23.0,1,1,37137.0,0,3,3000.0,3,5.79,0.08,3.0,567,1
0,25.0,0,3,37942.0,4,3,5000.0,5,9.06,0.13,2.0,658,1
1,22.0,1,1,22793.0,0,3,6000.0,5,6.62,0.26,2.0,631,0
1,24.0,0,1,94546.0,4,0,24000.0,5,15.96,0.25,4.0,708,0
1,24.0,1,0,100758.0,0,3,25000.0,3,11.01,0.25,2.0,635,0
0,22.0,0,1,83821.0,1,3,8650.0,1,11.49,0.10,4.0,477,1
0,22.0,1,3,82272.0,0,0,9600.0,1,14.96,0.12,4.0,656,0
1,29.0,0,4,57412.0,8,3,16000.0,3,11.71,0.28,8.0,588,0
0,30.0,1,3,51926.0,11,3,12000.0,5,11.71,0.23,8.0,595,1
1,30.0,1,0,36687.0,7,0,4400.0,2,11.99,0.12,5.0,619,0
1,32.0,0,1,55739.0,12,3,14458.0,4,11.06,0.26,9.0,666,0
0,24.0,1,4,75216.0,0,0,20000.0,3,11.01,0.27,4.0,618,0
0,52.0,0,3,63273.0,31,2,9600.0,4,8.49,0.15,22.0,673,1
0,26.0,1,1,151220.0,8,0,14800.0,4,11.01,0.10,3.0,542,1
0,25.0,1,3,64408.0,4,0,16000.0,3,12.53,0.25,2.0,603,1
1,23.0,0,3,53294.0,0,0,25000.0,0,11.01,0.47,3.0,680,0
0,32.0,1,0,132315.0,9,0,12000.0,2,12.09,0.09,8.0,559,1
0,43.0,0,1,144620.0,22,0,5477.0,2,10.03,0.04,17.0,727,1
0,22.0,0,3,88128.0,0,3,4200.0,0,11.71,0.05,3.0,623,1
1,22.0,0,4,37920.0,0,3,7025.0,1,6.54,0.19,4.0,673,0
0,25.0,0,1,75312.0,6,3,5000.0,0,11.01,0.07,2.0,663,0
1,34.0,0,1,55083.0,10,3,4500.0,4,16.95,0.08,10.0,704,0
0,27.0,0,0,190083.0,5,0,35000.0,0,12.99,0.18,10.0,689,1
0,28.0,0,3,47170.0,7,3,3600.0,5,11.12,0.08,7.0,645,1
0,38.0,0,0,149673.0,15,0,12000.0,1,10.18,0.08,14.0,704,0
1,34.0,1,4,130858.0,13,3,12350.0,2,14.96,0.09,7.0,671,0
0,23.0,0,3,97456.0,0,3,7800.0,5,9.99,0.08,2.0,669,1
0,21.0,0,0,103264.0,0,3,15000.0,5,10.95,0.15,3.0,530,1
0,21.0,1,0,49302.0,1,3,1500.0,1,12.18,0.03,4.0,582,1
0,23.0,0,3,79315.0,0,0,7000.0,5,7.31,0.09,4.0,668,1
0,24.0,1,1,68271.0,2,0,12250.0,3,6.03,0.18,4.0,589,1
0,33.0,0,4,146262.0,9,0,17600.0,1,13.57,0.12,5.0,692,0
1,27.0,0,1,88943.0,5,3,9000.0,1,9.63,0.10,7.0,698,0
0,25.0,0,0,61521.0,0,0,20000.0,2,11.51,0.33,4.0,529,1
0,22.0,0,0,43032.0,2,0,9000.0,3,9.09,0.21,4.0,620,1
1,23.0,0,4,24136.0,1,2,6000.0,2,6.54,0.25,4.0,617,0
